Codigo;es-ES;us-EN;gl-ES
7315;Montadores de estructuras cableadas y empalmadores de cables;Montadores de estructuras cableadas y empalmadores de cables;Montadores de estructuras cableadas y empalmadores de cables
7321;Herreros y forjadores;Herreros y forjadores;Herreros y forjadores
7322;Trabajadores de la fabricación de herramientas, mecánico-ajustadores, modelistas, matriceros y afines;Trabajadores de la fabricación de herramientas, mecánico-ajustadores, modelistas, matriceros y afines;Trabajadores de la fabricación de herramientas, mecánico-ajustadores, modelistas, matriceros y afines
7323;Ajustadores y operadores de máquinas-herramienta;Ajustadores y operadores de máquinas-herramienta;Ajustadores y operadores de máquinas-herramienta
7324;Pulidores de metales y afiladores de herramientas;Pulidores de metales y afiladores de herramientas;Pulidores de metales y afiladores de herramientas
7401;Mecánicos y ajustadores de vehículos de motor;Mecánicos y ajustadores de vehículos de motor;Mecánicos y ajustadores de vehículos de motor
7402;Mecánicos y ajustadores de motores de avión;Mecánicos y ajustadores de motores de avión;Mecánicos y ajustadores de motores de avión
7403;Mecánicos y ajustadores de maquinaria agrícola e industrial;Mecánicos y ajustadores de maquinaria agrícola e industrial;Mecánicos y ajustadores de maquinaria agrícola e industrial
7404;Mecánicos y ajustadores de maquinaria naval y ferroviaria;Mecánicos y ajustadores de maquinaria naval y ferroviaria;Mecánicos y ajustadores de maquinaria naval y ferroviaria
7405;Reparadores de bicicletas y afines;Reparadores de bicicletas y afines;Reparadores de bicicletas y afines
7510;Electricistas de la construcción y afines;Electricistas de la construcción y afines;Electricistas de la construcción y afines
7521;Mecánicos y reparadores de equipos eléctricos;Mecánicos y reparadores de equipos eléctricos;Mecánicos y reparadores de equipos eléctricos
7522;Instaladores y reparadores de líneas eléctricas;Instaladores y reparadores de líneas eléctricas;Instaladores y reparadores de líneas eléctricas
7531;Mecánicos y reparadores de equipos electrónicos;Mecánicos y reparadores de equipos electrónicos;Mecánicos y reparadores de equipos electrónicos
7532;Instaladores y reparadores en electromedicina;Instaladores y reparadores en electromedicina;Instaladores y reparadores en electromedicina
7533;Instaladores y reparadores en tecnologías de la información y las comunicaciones;Instaladores y reparadores en tecnologías de la información y las comunicaciones;Instaladores y reparadores en tecnologías de la información y las comunicaciones
7611;Relojeros y mecánicos de instrumentos de precisión;Relojeros y mecánicos de instrumentos de precisión;Relojeros y mecánicos de instrumentos de precisión
7612;"Lutieres y similares; afinadores de instrumentos musicales";"Lutieres y similares; afinadores de instrumentos musicales";"Lutieres y similares; afinadores de instrumentos musicales"
7613;Joyeros, orfebres y plateros;Joyeros, orfebres y plateros;Joyeros, orfebres y plateros
7614;Trabajadores de la cerámica, alfareros y afines;Trabajadores de la cerámica, alfareros y afines;Trabajadores de la cerámica, alfareros y afines
7615;Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio;Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio;Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio
7616;Rotulistas, grabadores de vidrio, pintores decorativos de artículos diversos;Rotulistas, grabadores de vidrio, pintores decorativos de artículos diversos;Rotulistas, grabadores de vidrio, pintores decorativos de artículos diversos
7617;"Artesanos en madera y materiales similares; cesteros, bruceros y trabajadores afines";"Artesanos en madera y materiales similares; cesteros, bruceros y trabajadores afines";"Artesanos en madera y materiales similares; cesteros, bruceros y trabajadores afines"
7618;Artesanos en tejidos, cueros y materiales similares, preparadores de fibra y tejedores con telares artesanos o de tejidos de punto y afines;Artesanos en tejidos, cueros y materiales similares, preparadores de fibra y tejedores con telares artesanos o de tejidos de punto y afines;Artesanos en tejidos, cueros y materiales similares, preparadores de fibra y tejedores con telares artesanos o de tejidos de punto y afines
7619;Artesanos no clasificados bajo otros epígrafes;Artesanos no clasificados bajo otros epígrafes;Artesanos no clasificados bajo otros epígrafes
7621;Trabajadores de procesos de preimpresión;Trabajadores de procesos de preimpresión;Trabajadores de procesos de preimpresión
7622;Trabajadores de procesos de impresión;Trabajadores de procesos de impresión;Trabajadores de procesos de impresión
7623;Trabajadores de procesos de encuadernación;Trabajadores de procesos de encuadernación;Trabajadores de procesos de encuadernación
7701;Matarifes y trabajadores de las industrias cárnicas;Matarifes y trabajadores de las industrias cárnicas;Matarifes y trabajadores de las industrias cárnicas
7702;Trabajadores de las industrias del pescado;Trabajadores de las industrias del pescado;Trabajadores de las industrias del pescado
7703;Panaderos, pasteleros y confiteros;Panaderos, pasteleros y confiteros;Panaderos, pasteleros y confiteros
7704;Trabajadores del tratamiento de la leche y elaboración de productos lácteos (incluidos helados);Trabajadores del tratamiento de la leche y elaboración de productos lácteos (incluidos helados);Trabajadores del tratamiento de la leche y elaboración de productos lácteos (incluidos helados)
7705;Trabajadores conserveros de frutas y hortalizas y trabajadores de la elaboración de bebidas no alcohólicas;Trabajadores conserveros de frutas y hortalizas y trabajadores de la elaboración de bebidas no alcohólicas;Trabajadores conserveros de frutas y hortalizas y trabajadores de la elaboración de bebidas no alcohólicas
7706;Trabajadores de la elaboración de bebidas alcohólicas distintas del vino;Trabajadores de la elaboración de bebidas alcohólicas distintas del vino;Trabajadores de la elaboración de bebidas alcohólicas distintas del vino
7707;Trabajadores de la elaboración del vino;Trabajadores de la elaboración del vino;Trabajadores de la elaboración del vino
7708;Preparadores y elaboradores del tabaco y sus productos;Preparadores y elaboradores del tabaco y sus productos;Preparadores y elaboradores del tabaco y sus productos
7709;Catadores y clasificadores de alimentos y bebidas;Catadores y clasificadores de alimentos y bebidas;Catadores y clasificadores de alimentos y bebidas
7811;Trabajadores del tratamiento de la madera;Trabajadores del tratamiento de la madera;Trabajadores del tratamiento de la madera
7812;Ajustadores y operadores de máquinas para trabajar la madera;Ajustadores y operadores de máquinas para trabajar la madera;Ajustadores y operadores de máquinas para trabajar la madera
7820;Ebanistas y trabajadores afines;Ebanistas y trabajadores afines;Ebanistas y trabajadores afines
7831;Sastres, modistos, peleteros y sombrereros;Sastres, modistos, peleteros y sombrereros;Sastres, modistos, peleteros y sombrereros
7832;Patronistas para productos en textil y piel;Patronistas para productos en textil y piel;Patronistas para productos en textil y piel
7833;Cortadores de tejidos, cuero, piel y otros materiales;Cortadores de tejidos, cuero, piel y otros materiales;Cortadores de tejidos, cuero, piel y otros materiales
7834;Costureros a mano, bordadores y afines;Costureros a mano, bordadores y afines;Costureros a mano, bordadores y afines
7835;Tapiceros, colchoneros y afines;Tapiceros, colchoneros y afines;Tapiceros, colchoneros y afines
7836;Curtidores y preparadores de pieles;Curtidores y preparadores de pieles;Curtidores y preparadores de pieles
7837;Zapateros y afines;Zapateros y afines;Zapateros y afines
7891;Buceadores;Buceadores;Buceadores
7892;Pegadores;Pegadores;Pegadores
7893;Clasificadores y probadores de productos (excepto alimentos, bebidas y tabaco);Clasificadores y probadores de productos (excepto alimentos, bebidas y tabaco);Clasificadores y probadores de productos (excepto alimentos, bebidas y tabaco)
7894;Fumigadores y otros controladores de plagas y malas hierbas;Fumigadores y otros controladores de plagas y malas hierbas;Fumigadores y otros controladores de plagas y malas hierbas
7899;Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes;Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes;Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes
8111;Mineros y otros operadores en instalaciones mineras;Mineros y otros operadores en instalaciones mineras;Mineros y otros operadores en instalaciones mineras
8112;Operadores en instalaciones para la preparación de minerales y rocas;Operadores en instalaciones para la preparación de minerales y rocas;Operadores en instalaciones para la preparación de minerales y rocas
8113;Sondistas y trabajadores afines;Sondistas y trabajadores afines;Sondistas y trabajadores afines
8114;Operadores de maquinaria para fabricar productos derivados de minerales no metálicos;Operadores de maquinaria para fabricar productos derivados de minerales no metálicos;Operadores de maquinaria para fabricar productos derivados de minerales no metálicos
8121;Operadores en instalaciones para la obtención y transformación de metales;Operadores en instalaciones para la obtención y transformación de metales;Operadores en instalaciones para la obtención y transformación de metales
8122;Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales;Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales;Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales
8131;Operadores en plantas industriales químicas;Operadores en plantas industriales químicas;Operadores en plantas industriales químicas
8132;Operadores de máquinas para fabricar productos farmacéuticos, cosméticos y afines;Operadores de máquinas para fabricar productos farmacéuticos, cosméticos y afines;Operadores de máquinas para fabricar productos farmacéuticos, cosméticos y afines
8133;Operadores de laboratorios fotográficos y afines;Operadores de laboratorios fotográficos y afines;Operadores de laboratorios fotográficos y afines
8141;Operadores de máquinas para fabricar productos de caucho y derivados de resinas naturales;Operadores de máquinas para fabricar productos de caucho y derivados de resinas naturales;Operadores de máquinas para fabricar productos de caucho y derivados de resinas naturales
8142;Operadores de máquinas para fabricar productos de material plástico;Operadores de máquinas para fabricar productos de material plástico;Operadores de máquinas para fabricar productos de material plástico
8143;Operadores de máquinas para fabricar productos de papel y cartón;Operadores de máquinas para fabricar productos de papel y cartón;Operadores de máquinas para fabricar productos de papel y cartón
8144;Operadores de serrerías, de máquinas de fabricación de tableros y de instalaciones afines para el tratamiento de la madera y el corcho;Operadores de serrerías, de máquinas de fabricación de tableros y de instalaciones afines para el tratamiento de la madera y el corcho;Operadores de serrerías, de máquinas de fabricación de tableros y de instalaciones afines para el tratamiento de la madera y el corcho
8145;Operadores en instalaciones para la preparación de pasta de papel y fabricación de papel;Operadores en instalaciones para la preparación de pasta de papel y fabricación de papel;Operadores en instalaciones para la preparación de pasta de papel y fabricación de papel
8151;Operadores de máquinas para preparar fibras, hilar y devanar;Operadores de máquinas para preparar fibras, hilar y devanar;Operadores de máquinas para preparar fibras, hilar y devanar
8152;Operadores de telares y otras máquinas tejedoras;Operadores de telares y otras máquinas tejedoras;Operadores de telares y otras máquinas tejedoras
8153;Operadores de máquinas de coser y bordar;Operadores de máquinas de coser y bordar;Operadores de máquinas de coser y bordar
8154;Operadores de máquinas de blanquear, teñir, estampar y acabar textiles;Operadores de máquinas de blanquear, teñir, estampar y acabar textiles;Operadores de máquinas de blanquear, teñir, estampar y acabar textiles
8155;Operadores de máquinas para tratar pieles y cuero;Operadores de máquinas para tratar pieles y cuero;Operadores de máquinas para tratar pieles y cuero
8156;Operadores de máquinas para la fabricación del calzado, marroquinería y guantería de piel;Operadores de máquinas para la fabricación del calzado, marroquinería y guantería de piel;Operadores de máquinas para la fabricación del calzado, marroquinería y guantería de piel
8159;Operadores de máquinas para fabricar productos textiles no clasificados bajo otros epígrafes;Operadores de máquinas para fabricar productos textiles no clasificados bajo otros epígrafes;Operadores de máquinas para fabricar productos textiles no clasificados bajo otros epígrafes
8160;Operadores de máquinas para elaborar productos alimenticios, bebidas y tabaco;Operadores de máquinas para elaborar productos alimenticios, bebidas y tabaco;Operadores de máquinas para elaborar productos alimenticios, bebidas y tabaco
8170;Operadores de máquinas de lavandería y tintorería;Operadores de máquinas de lavandería y tintorería;Operadores de máquinas de lavandería y tintorería
8191;Operadores de hornos e instalaciones de vidriería y cerámica;Operadores de hornos e instalaciones de vidriería y cerámica;Operadores de hornos e instalaciones de vidriería y cerámica
8192;Operadores de calderas y máquinas de vapor;Operadores de calderas y máquinas de vapor;Operadores de calderas y máquinas de vapor
8193;Operadores de máquinas de embalaje, embotellamiento y etiquetado;Operadores de máquinas de embalaje, embotellamiento y etiquetado;Operadores de máquinas de embalaje, embotellamiento y etiquetado
8199;Operadores de instalaciones y maquinaria fijas no clasificados bajo otros epígrafes;Operadores de instalaciones y maquinaria fijas no clasificados bajo otros epígrafes;Operadores de instalaciones y maquinaria fijas no clasificados bajo otros epígrafes
8201;Ensambladores de maquinaria mecánica;Ensambladores de maquinaria mecánica;Ensambladores de maquinaria mecánica
8202;Ensambladores de equipos eléctricos y electrónicos;Ensambladores de equipos eléctricos y electrónicos;Ensambladores de equipos eléctricos y electrónicos
8209;Montadores y ensambladores no clasificados en otros epígrafes;Montadores y ensambladores no clasificados en otros epígrafes;Montadores y ensambladores no clasificados en otros epígrafes
8311;Maquinistas de locomotoras;Maquinistas de locomotoras;Maquinistas de locomotoras
8312;Agentes de maniobras ferroviarias;Agentes de maniobras ferroviarias;Agentes de maniobras ferroviarias
8321;Operadores de maquinaria agrícola móvil;Operadores de maquinaria agrícola móvil;Operadores de maquinaria agrícola móvil
8322;Operadores de maquinaria forestal móvil;Operadores de maquinaria forestal móvil;Operadores de maquinaria forestal móvil
8331;Operadores de maquinaria de movimientos de tierras y equipos similares;Operadores de maquinaria de movimientos de tierras y equipos similares;Operadores de maquinaria de movimientos de tierras y equipos similares
8332;Operadores de grúas, montacargas y de maquinaria similar de movimiento de materiales;Operadores de grúas, montacargas y de maquinaria similar de movimiento de materiales;Operadores de grúas, montacargas y de maquinaria similar de movimiento de materiales
8333;Operadores de carretillas elevadoras;Operadores de carretillas elevadoras;Operadores de carretillas elevadoras
8340;Marineros de puente, marineros de máquinas y afines;Marineros de puente, marineros de máquinas y afines;Marineros de puente, marineros de máquinas y afines
8411;Conductores propietarios de automóviles, taxis y furgonetas;Conductores propietarios de automóviles, taxis y furgonetas;Conductores propietarios de automóviles, taxis y furgonetas
8412;Conductores asalariados de automóviles, taxis y furgonetas;Conductores asalariados de automóviles, taxis y furgonetas;Conductores asalariados de automóviles, taxis y furgonetas
8420;Conductores de autobuses y tranvías;Conductores de autobuses y tranvías;Conductores de autobuses y tranvías
8431;Conductores propietarios de camiones;Conductores propietarios de camiones;Conductores propietarios de camiones
8432;Conductores asalariados de camiones;Conductores asalariados de camiones;Conductores asalariados de camiones
8440;Conductores de motocicletas y ciclomotores;Conductores de motocicletas y ciclomotores;Conductores de motocicletas y ciclomotores
9100;Empleados domésticos;Empleados domésticos;Empleados domésticos
9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
9221;Limpiadores en seco a mano y afines;Limpiadores en seco a mano y afines;Limpiadores en seco a mano y afines
9222;Limpiadores de vehículos;Limpiadores de vehículos;Limpiadores de vehículos
9223;Limpiadores de ventanas;Limpiadores de ventanas;Limpiadores de ventanas
9229;Otro personal de limpieza;Otro personal de limpieza;Otro personal de limpieza
9310;Ayudantes de cocina;Ayudantes de cocina;Ayudantes de cocina
9320;Preparadores de comidas rápidas;Preparadores de comidas rápidas;Preparadores de comidas rápidas
9410;Vendedores callejeros;Vendedores callejeros;Vendedores callejeros
9420;Repartidores de publicidad, limpiabotas y otros trabajadores de oficios callejeros;Repartidores de publicidad, limpiabotas y otros trabajadores de oficios callejeros;Repartidores de publicidad, limpiabotas y otros trabajadores de oficios callejeros
9431;Ordenanzas;Ordenanzas;Ordenanzas
9432;Mozos de equipaje y afines;Mozos de equipaje y afines;Mozos de equipaje y afines
9433;Repartidores, recadistas y mensajeros a pie;Repartidores, recadistas y mensajeros a pie;Repartidores, recadistas y mensajeros a pie
9434;Lectores de contadores y recaudadores de máquinas recreativas y expendedoras;Lectores de contadores y recaudadores de máquinas recreativas y expendedoras;Lectores de contadores y recaudadores de máquinas recreativas y expendedoras
9441;Recogedores de residuos;Recogedores de residuos;Recogedores de residuos
9442;Clasificadores de desechos, operarios de punto limpio y recogedores de chatarra;Clasificadores de desechos, operarios de punto limpio y recogedores de chatarra;Clasificadores de desechos, operarios de punto limpio y recogedores de chatarra
9443;Barrenderos y afines;Barrenderos y afines;Barrenderos y afines
9490;Otras ocupaciones elementales;Otras ocupaciones elementales;Otras ocupaciones elementales
9511;Peones agrícolas (excepto en huertas, invernaderos, viveros y jardines);Peones agrícolas (excepto en huertas, invernaderos, viveros y jardines);Peones agrícolas (excepto en huertas, invernaderos, viveros y jardines)
9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;Peones agrícolas en huertas, invernaderos, viveros y jardines;Peones agrícolas en huertas, invernaderos, viveros y jardines
9520;Peones ganaderos;Peones ganaderos;Peones ganaderos
9530;Peones agropecuarios;Peones agropecuarios;Peones agropecuarios
9541;Peones de la pesca;Peones de la pesca;Peones de la pesca
9542;Peones de la acuicultura;Peones de la acuicultura;Peones de la acuicultura
9543;Peones forestales y de la caza;Peones forestales y de la caza;Peones forestales y de la caza
9601;Peones de obras públicas;Peones de obras públicas;Peones de obras públicas
9602;Peones de la construcción de edificios;Peones de la construcción de edificios;Peones de la construcción de edificios
9603;Peones de la minería, canteras y otras industrias extractivas;Peones de la minería, canteras y otras industrias extractivas;Peones de la minería, canteras y otras industrias extractivas
9700;Peones de las industrias manufactureras;Peones de las industrias manufactureras;Peones de las industrias manufactureras
9811;Peones del transporte de mercancías y descargadores;Peones del transporte de mercancías y descargadores;Peones del transporte de mercancías y descargadores
9812;Conductores de vehículos de tracción animal para el transporte de personas y similares;Conductores de vehículos de tracción animal para el transporte de personas y similares;Conductores de vehículos de tracción animal para el transporte de personas y similares
9820;Reponedores;Reponedores;Reponedores
